Frame,Detected,Ground_Truth,Confidence,FPS,,,,
352,1,1,0.346311867,20.62603393,,,,
353,0,1,,20.30019263,,,,
354,1,1,0.266744167,21.92286262,,,,
355,0,1,,21.43067215,,,,
356,0,1,,21.57807982,,,,
357,0,1,,21.31403657,,,,
358,0,1,,22.35138261,,,,
359,0,1,,22.15995858,,,,
360,0,1,,20.83846639,,,,
361,0,1,,21.01796971,,,,
362,0,1,,22.07865411,,,,
363,0,1,,21.30645751,,,,
364,0,1,,22.45645295,,,,
365,0,1,,22.44719885,,,,
366,0,1,,21.53830037,,,,
367,0,1,,21.27705856,,,,
368,0,1,,22.2536649,,,,
369,1,1,0.25043872,22.64376181,,,,
370,0,1,,21.81783377,,,,
371,0,1,,21.22365705,,,,
372,0,1,,22.93561105,,,,
373,0,1,,22.97392752,,,,
374,0,1,,21.2113139,,,,
375,0,1,,20.71476054,,,,
376,0,1,,20.48210022,,,,
377,0,1,,22.50332106,,,,
378,0,1,,23.22286018,,,,
379,0,1,,21.53520396,,,,
380,0,1,,21.09619853,,,,
381,0,1,,21.87415709,,,,
382,0,1,,21.31566135,,,,
383,0,1,,22.66983034,,,,
384,0,1,,22.69006557,,,,
385,0,1,,22.12419032,,,,
386,0,1,,21.53940645,,,,
387,0,1,,21.09047025,,,,
388,0,1,,19.93831644,,,,
389,0,1,,21.05701147,,,,
390,0,1,,20.95360467,,,,
391,0,1,,22.08016509,,,,
392,0,1,,22.93924876,,,,
